L,11,41004,104990981,106.8322,-6.1869
L,11,41004,104991237,106.829,-6.188
L,11,41004,104975110,106.8381,-6.1823
L,11,43003,110114308,106.8102,-6.2491
L,11,41004,104991236,106.8303,-6.187
L,11,41004,104990980,106.8343,-6.1834
L,11,41003,107547908,106.8178,-6.1543
L,11,41003,107566597,106.8297,-6.1496
L,11,41003,107570693,106.817,-6.1504
L,11,51005,130589958,107.6,-6.9456
L,11,51005,130589956,107.5995,-6.9584
L,11,51005,130589957,107.5891,-6.9645
L,11,51009,130593541,107.5067,-6.8638
L,11,51130,130637062,108.5374,-6.7433
L,11,41003,107551749,106.8252,-6.1475
L,11,41003,105009926,106.8284,-6.1367
L,11,41004,104992772,106.843,-6.1817
L,11,51130,130638342,108.5412,-6.7149
L,11,45101,115227653,107.0792,-6.2946
G,10,18724,49384,116.8335,-1.2337
G,10,18724,43215,116.8358,-1.2376
G,10,18728,40165,116.833,-1.228
G,10,18728,49405,116.8319,-1.2247
G,10,18728,49404,116.8314,-1.2241
G,10,9004,64183,122.03,-4.7522
G,10,16029,36984,112.7337,-7.2131
G,10,16048,32321,112.7373,-7.2879
G,10,16089,20931,113.5591,-7.0345
G,10,16088,30463,113.5634,-7.0318
G,10,16088,30102,113.5474,-7.0444
G,10,16048,32324,112.7373,-7.2876
G,10,16519,44721,113.9953,-7.7075
G,10,12108,30871,104.8608,-3.1844
G,10,9004,64821,122.0457,-4.7686
G,10,9004,64181,122.0529,-4.7742
G,10,18007,42414,116.9075,-1.2588
L,10,6214,59496203,112.7355,-7.301
L,10,6214,59451413,112.7378,-7.2902
L,10,6214,59496214,112.7348,-7.3126
L,10,6214,59496204,112.7353,-7.3094
L,10,6214,59482133,112.7326,-7.3081
L,10,6219,59399947,112.7557,-7.2561
L,10,6214,59451403,112.7369,-7.2896
L,10,6214,59395615,112.7389,-7.2955
L,10,6214,59496213,112.735,-7.3092
L,10,6214,59642891,112.7447,-7.2881
L,10,6219,59437835,112.7775,-7.262
L,10,6219,59544095,112.774,-7.2693
L,10,6222,59513109,112.7322,-7.2491
L,10,6222,59400459,112.7486,-7.25
L,10,6222,59513110,112.7346,-7.2504
L,10,6222,59513099,112.7339,-7.2462
L,10,6224,56089887,112.6153,-7.9821
L,10,6228,59437579,112.7713,-7.2471
L,10,6228,59437589,112.7693,-7.2472
L,10,6214,59395605,112.7377,-7.3005
L,10,6212,59581983,112.6961,-7.2969
L,10,6217,59435029,112.7515,-7.2749
L,10,6224,56126987,112.6324,-7.9877
L,10,6214,59642901,112.7414,-7.2919
L,10,6214,59642911,112.7395,-7.2901
L,10,6214,59544853,112.7483,-7.2865
L,10,6214,59642902,112.7406,-7.2951
L,10,6212,59458079,112.712,-7.2905
L,10,6219,59544085,112.7746,-7.2711
L,10,6222,59472661,112.7244,-7.2543
L,10,6222,59513100,112.737,-7.2474
L,10,6222,59472651,112.7302,-7.2509
L,10,6212,59518229,112.6893,-7.2721
L,10,6217,59435019,112.7456,-7.2755
L,10,6219,59399957,112.7676,-7.2571
L,10,6222,59472662,112.7272,-7.2553
L,10,6229,59414293,112.7455,-7.2375
L,10,7248,79893259,116.8538,-1.2662
L,10,7249,79873291,116.8685,-1.2558
L,10,7249,79893525,116.8675,-1.2511
L,10,9571,87180831,119.4499,-5.1585
L,10,9571,87123733,119.435,-5.1587
L,10,7248,79908885,116.8575,-1.2674
L,10,7249,79893515,116.8669,-1.2452
L,10,7248,79919893,116.8535,-1.2713
L,10,7248,79922453,116.8433,-1.2732
L,10,9571,87041567,119.4462,-5.1597
L,10,7248,79927829,116.855,-1.2713
L,10,7249,79921163,116.8634,-1.2422
L,10,7249,79923477,116.8749,-1.2423
L,10,9571,87180811,119.4519,-5.1555
L,10,9571,87067413,119.4454,-5.1636
L,10,9981,87069451,119.4334,-5.1757
L,10,9571,87180821,119.4554,-5.1597
L,10,7248,79927819,116.8561,-1.2694
L,10,9571,87100939,119.4352,-5.1729
L,10,9571,87043083,119.4346,-5.1678
L,10,9571,87043103,119.4359,-5.168
L,11,41003,107551748,106.827,-6.1481
L,11,41003,107566596,106.8336,-6.1477
L,11,41003,107585028,106.8311,-6.1529
L,11,41306,105024005,106.8502,-6.2068
L,11,41306,105024006,106.86,-6.2218
L,11,41003,107546116,106.8264,-6.1417
L,11,41004,104975108,106.8327,-6.1779
L,11,44005,117794052,106.8959,-6.3817
L,11,47103,120349702,106.7457,-6.3164
L,11,47103,120383237,106.7477,-6.3119
L,11,47103,120367621,106.7582,-6.3044
L,11,44005,115234565,106.9244,-6.3844
L,11,46002,117765380,106.8056,-6.6112
L,11,47103,120349701,106.7451,-6.32
L,11,47103,120348932,106.755,-6.3108
L,11,47103,120383236,106.7497,-6.289
L,11,44005,115234566,106.9222,-6.38
L,11,51004,130562054,107.6175,-6.9191
L,11,47004,120376580,106.5592,-6.2208
L,11,47103,120389124,106.7285,-6.312
L,11,54014,138266372,112.7324,-7.2558
L,11,54012,138241029,112.7409,-7.2684
L,11,54012,138240772,112.7573,-7.264
L,11,54012,138290949,112.7564,-7.2804
L,11,51004,130562053,107.6184,-6.9229
L,11,51005,130625028,107.612,-6.9605
L,11,51004,130580741,107.612,-6.9346
L,11,51004,130580740,107.6155,-6.9292
L,11,54012,138240774,112.7569,-7.2615
L,11,54013,138292998,112.7498,-7.2528
L,11,54013,138264324,112.7806,-7.25
L,11,54014,138297094,112.7315,-7.2552
L,11,54014,138297092,112.7344,-7.2519
L,11,54012,138241797,112.7616,-7.2743
L,11,54012,138241798,112.7586,-7.2697
L,11,51009,130655749,107.5236,-6.8872
L,11,51130,130629638,108.5424,-6.7421
L,11,51004,130615814,107.601,-6.9093
L,11,51009,130655750,107.52,-6.8854
L,11,54014,138241540,112.7405,-7.2605
L,11,54013,138271750,112.7519,-7.2435
G,10,9004,64182,122.028,-4.7582
G,10,9004,44181,122.0364,-4.7647
G,10,18725,41015,116.8226,-1.2775
L,10,9571,87223839,119.4322,-5.1715
G,10,18722,40615,116.8449,-1.1767
G,10,18724,49385,116.8325,-1.2358
G,10,18724,40074,116.8291,-1.2393
G,10,18724,41006,116.8278,-1.2337
G,10,18724,40071,116.828,-1.2372
G,10,18723,42006,116.8599,-1.2722
G,10,18724,45135,116.8267,-1.2371
G,10,18724,41005,116.8318,-1.2389
G,10,18723,41685,116.8624,-1.2602
G,10,18723,40831,116.855,-1.2652
G,10,18724,40326,116.8423,-1.2283
G,10,18723,41834,116.8586,-1.2708
G,10,18724,41004,116.8288,-1.2336
G,10,18725,40973,116.8183,-1.2761
G,10,18724,40075,116.8296,-1.2423
G,10,18724,40874,116.8269,-1.2307
G,10,18723,40136,116.8588,-1.2701
G,10,18724,40476,116.8364,-1.2331
